id,headline,desk,date,section,snippet,source,type,url,word_count,locations,subjects
5c77b18549f0eacbf105a9c6,b'U.S. Economy Cooled as G.D.P. Grew at 2.6% Rate in Fourth Quarter',Business,2019-02-28,Business,b'The pace slowed from midyear after losing the momentum generated by tax cuts.',The New York Times,News,https://www.nytimes.com/2019/02/28/business/economy/gdp-report.html,1242,[],"['United States Economy', 'Gross Domestic Product', 'International Trade and World Market', 'Recession and Depression', 'United States Politics and Government', 'Consumer Behavior']"
5c6342dc3a125f5075c09592,b'Virginia\xe2\x80\x99s Economy Weathers the Storm in Its Statehouse',Business,2019-02-12,Business,"b'Leading business groups haven\xe2\x80\x99t joined in pushing for leadership changes, and Amazon is moving forward with a major office presence.'",The New York Times,News,https://www.nytimes.com/2019/02/12/business/economy/virginia-economy-governor-scandal.html,1072,['Virginia'],"['Politics and Government', 'States (US)', 'Governors (US)', 'Elections, Governors', 'Boycotts', 'Economic Conditions and Trends', 'Blacks']"
5c4216ef3a125f5075c052d3,b'Polls Show Government Shutdown Is Eroding Faith in Economy',Business,2019-01-18,Business,"b'Consumer-sentiment readings are declining, and more Americans rate President Trump\xe2\x80\x99s economic policies poorly, as the impasse in Washington drags on.'",The New York Times,News,https://www.nytimes.com/2019/01/18/business/economy/government-shutdown-polls-economy.html,1164,[],"['Shutdowns (Institutional)', 'United States Economy', 'Consumer Behavior', 'Economic Conditions and Trends', 'Polls and Public Opinion', 'United States Politics and Government']"
5c9c8d7649f0eacbf105f7b2,"b'Trump Owns the Economy Now, for Better or Worse'",Washington,2019-03-28,U.S.,b'The Federal Reserve has halted rate increases. Tax cuts and tariffs have taken hold. Now the president must prove the naysayers wrong about the future.',The New York Times,News Analysis,https://www.nytimes.com/2019/03/28/us/politics/us-economy-trump.html,1692,[],"['United States Economy', 'Federal Budget (US)', 'Federal Taxes (US)', 'United States Politics and Government']"
5cb0cebf49f0eacbf1f8371b,b'Big Bank Earnings Reflect Strength in the Economy',Business,2019-04-12,Business,"b'JPMorgan Chase and PNC Financial Services Group reported growth in the first quarter, despite a federal government shutdown that lasted for most of January.'",The New York Times,News,https://www.nytimes.com/2019/04/12/business/wall-street-bank-earnings-economy.html,520,[],"['Banking and Financial Institutions', 'United States Economy', 'Company Reports']"
5c6496b93a125f5075c0991f,b'Confidence in the Economy Has Faded. Will It Rebound?',Business,2019-02-13,Business,b'The government shutdown and the stock market tumult in 2018 affected the outlook of business owners and consumers alike in January.',The New York Times,News,https://www.nytimes.com/2019/02/13/business/dealbook/economy-consumer-confidence-rebound.html,478,[],"['Consumer Confidence (Economic Indicator)', 'Small Business', 'United States Economy']"
5ca774df49f0eacbf1f812f5,b'Trump Says Fed Should Cut Rates and Lift Economy',Business,2019-04-05,Business,b'President Trump said on Friday that he wanted another round of quantitative easing from the central bank.',The New York Times,News,https://www.nytimes.com/2019/04/05/business/economy/trump-fed-interest-rates.html,1466,[],"['Interest Rates', 'Quantitative Easing', 'Banking and Financial Institutions', 'United States Economy', 'Credit and Debt', 'United States Politics and Government', 'Appointments and Executive Changes']"
5c859acc49f0eacbf105c582,b'The Experts Keep Getting the Economy Wrong',OpEd,2019-03-10,Opinion,"b'Again and again, forecasters have been too optimistic \xe2\x80\x94 which is a sign of the economy\xe2\x80\x99s funk.'",The New York Times,Op-Ed,https://www.nytimes.com/2019/03/10/opinion/us-economy-stagnation-growth.html,908,[],"['United States Economy', 'Income Inequality', 'Gross Domestic Product', 'United States Politics and Government', 'Income', 'Economic Conditions and Trends', 'Economics (Theory and Philosophy)', 'Tax Cuts and Jobs Act (2017)']"
5cae356a49f0eacbf1f826a3,b'Turkey\xe2\x80\x99s Plan for Economy Is Seen as Tepid Response to Downturn',Business,2019-04-10,Business,"b'Amid political turmoil, a blueprint by President Recep Tayyip Erdogan\xe2\x80\x99s government avoids the tougher steps economists say are needed to reverse a recession.'",The New York Times,News,https://www.nytimes.com/2019/04/10/business/turkey-economy-erdogan.html,700,['Turkey'],"['Economic Conditions and Trends', 'Banking and Financial Institutions']"
5ca376ca49f0eacbf1f80291,"b""IMF Managing Director Says Economy Is at 'Delicate Moment'""",None,2019-04-02,U.S.,"b'The head of the 189-nation International Monetary Fund said Tuesday the global economy is at a ""delicate moment"" with a hoped-for rebound in growth later this year being threatened by a variety of factors such as rising trade tensions between the ...'",AP,News,https://www.nytimes.com/aponline/2019/04/02/us/politics/ap-us-global-finance-imf.html,465,[],[]
5caca56449f0eacbf1f81d49,"b'Global Economy Cooling, Coordinated Stimulus May Be Needed-IMF'",None,2019-04-09,Business,"b'The global economy is slowing more than expected and a sharp downturn could require world leaders to coordinate stimulus measures, the International Monetary Fund said on Tuesday as it cut its forecast for world economic growth this year.'",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/business/09reuters-imf-worldbank-outlook.html,896,[],[]
5cae203e49f0eacbf1f8263e,"b'Uneasy About the Economy, Some Businesses Hold Off on Hiring'",None,2019-04-10,Business,"b'Samantha Martin does most of the annual hiring for her public relations firm in the first quarter. But not this year &#8212; clients worried about a slowing economy are cutting their budgets, and Martin has in turn scaled back her own plans.'",AP,News,https://www.nytimes.com/aponline/2019/04/10/business/ap-us-smallbiz-small-talk-not-hiring.html,889,[],[]
5c9d8dba49f0eacbf105fab3,b'On Politics: It\xe2\x80\x99s Trump\xe2\x80\x99s Economy',Politics,2019-03-29,U.S.,"b'Between trade, taxes and the Federal Reserve, President Trump is getting what we wants in the economy. But it may not last.'",The New York Times,News,https://www.nytimes.com/2019/03/28/us/politics/on-politics-its-trumps-economy.html,509,[],['United States Politics and Government']
5c9e3ef749f0eacbf105fc62,"b'Lyft\xe2\x80\x99s Shares Jump in Trading Debut, Cementing Rise of the Gig Economy'",Business,2019-03-29,Technology,"b'An I.P.O. underscored the depth of investor hunger for fast-growing young tech businesses, even if they are deeply unprofitable.'",The New York Times,News,https://www.nytimes.com/2019/03/29/technology/lyft-stock-price.html,1058,[],"['Initial Public Offerings', 'Car Services and Livery Cabs', 'Stocks and Bonds', 'Freelancing, Self-Employment and Independent Contracting']"
