id,headline,desk,date,section,snippet,source,type,url,word_count,locations,subjects
5c63f8bd3a125f5075c09710,b'The Political Magic of Us vs. Them',OpEd,2019-02-13,Opinion,"b'Encouraging and exploiting division has worked for Trump, as far as his own electoral prospects are concerned. Can he keep it up?'",The New York Times,Op-Ed,https://www.nytimes.com/2019/02/13/opinion/trump-2020-us-them.html,2496,[],"['Presidential Election of 2016', 'United States Politics and Government', 'Presidential Election of 2020', 'Midterm Elections (2018)', 'Voting and Voters', 'Polls and Public Opinion', 'State of the Union Message (US)']"
5cae652449f0eacbf1f827d4,b'Winning the climate fight',OpEd,2019-04-10,Opinion,b'There are pro-climate policies that most voters favor.',The New York Times,Op-Ed,https://www.nytimes.com/2019/04/10/opinion/climate-change-green-new-deal.html,556,[],"['Taxation', 'Carbon Caps and Emissions Trading Programs', 'Alternative and Renewable Energy', 'United States Politics and Government', 'Carbon Dioxide', 'Green New Deal', 'Global Warming', 'Corporations', 'Oil (Petroleum) and Gasoline', 'Coal', 'States (US)']"
5ca55e3149f0eacbf1f80c01,b'PG&amp;E Reveals New C.E.O. and a Revamped Board of Directors',Business,2019-04-04,Business,"b'Bill Johnson, most recently the head of the Tennessee Valley Authority, will fill the chief executive position held by Geisha Williams, who left in January, just before PG&E filed for bankruptcy.'",The New York Times,News,https://www.nytimes.com/2019/04/03/business/pacific-gas-electric-new-ceo.html,949,['California'],"['Appointments and Executive Changes', 'Boards of Directors']"
5cae50d549f0eacbf1f82764,b'U.S. Senate Bill Mandates Review of Nuclear Power Cooperation With Other Nations',None,2019-04-10,U.S.,b'A bipartisan group of U.S. senators introduced legislation on Wednesday mandating that the executive branch disclose details about authorizations it gives companies on sharing sensitive nuclear energy information with countries looking to build re...',Reuters,News,https://www.nytimes.com/reuters/2019/04/10/us/politics/10reuters-usa-saudi-nuclearpower.html,514,[],[]
5cad545549f0eacbf1f822d0,b'The Problem With Putting a Price on the End of the World',Magazine,2019-04-10,Magazine,b'Economists have workable policy ideas for addressing climate change. But what if they\xe2\x80\x99re politically impossible?',The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2019/04/09/magazine/climate-change-politics-economics.html,0,[],"['Global Warming', 'Doomsday', 'Greenhouse Gas Emissions', 'Carbon Caps and Emissions Trading Programs', 'Green New Deal', 'United States Economy', 'United States Politics and Government', 'Economics (Theory and Philosophy)', 'Regulation and Deregulation of Industry']"
5c81fc5e49f0eacbf105bfbf,b'America\xe2\x80\x99s Light Bulb Revolution',Climate,2019-03-08,Climate,b'Light bulbs are helping to reshape America\xe2\x80\x99s energy economy right now. But the Trump administration could slow the pace of the transformation.',The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2019/03/08/climate/light-bulb-efficiency.html,0,[],"['Electric Light Bulbs', 'Compact Fluorescent Light Bulbs', 'Energy Efficiency', 'Lighting', 'Greenhouse Gas Emissions', 'Regulation and Deregulation of Industry']"
5cae631b49f0eacbf1f827c9,b'Trump Signs Orders to Speed Up Oil and Gas Pipeline Construction',Business,2019-04-10,Business,b'The president wants to limit the influence of state governments and the State Department in approving domestic and international pipelines.',The New York Times,News,https://www.nytimes.com/2019/04/10/business/energy-environment/trump-oil-gas-pipelines.html,728,[],"['Pipelines', 'Natural Gas', 'Oil (Petroleum) and Gasoline', 'United States Politics and Government', 'Keystone Pipeline System', 'Executive Orders and Memorandums', 'States (US)', 'Environment', 'Building (Construction)', 'Regulation and Deregulation of Industry']"
5cafbac749f0eacbf1f831d0,b'Thomas Edison Would Not Be Happy',OpEd,2019-04-11,Opinion,b'The inventor of the light bulb was an innovator. But the Trump administration wants to roll back new efficiency standards.',The New York Times,Op-Ed,https://www.nytimes.com/2019/04/11/opinion/energy-efficiency-trump-light.html,878,['United States'],"['Electric Light Bulbs', 'Greenhouse Gas Emissions', 'Energy Efficiency', 'Lighting', 'Carbon Dioxide']"
5caf5e1849f0eacbf1f82d2a,"b""Transmission Line for Canadian Hydropower to Northeast OK'd""",None,2019-04-11,U.S.,b'A proposed 145-mile (233-kilometer) transmission line that would serve as a conduit for Canadian hydropower to reach the New England power grid cleared a major hurdle Thursday with approval of the Maine Public Utilities Commission.',AP,News,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-hydropower-transmission-project.html,534,[],[]
5cab1b8749f0eacbf1f8190d,b'Saudi Arabia Says May Will Be Key to Decide on Extending Oil Supply Cuts',None,2019-04-08,Business,b'The Saudi energy minister on Monday said it was premature to say whether a consensus existed among OPEC and its allies to extend oil supply cuts but a meeting next month would be key.',Reuters,News,https://www.nytimes.com/reuters/2019/04/08/business/08reuters-saudi-opec.html,541,[],[]
