id,headline,desk,date,section,snippet,source,type,url,word_count,locations,subjects
5c6fac5e3a125f5075c0af5b,b'It Started With a Jolt: How New York Became a Tech Town',Business,2019-02-22,Technology,"b'Amazon may not call it home. But the city, by design and because of its allure, is increasingly a magnet for coders and companies.'",The New York Times,News,https://www.nytimes.com/2019/02/22/technology/nyc-tech-startups.html,3225,['New York City'],['Computers and the Internet']
5c99ea6f49f0eacbf105f0cd,b'Why Is Silicon Valley So Obsessed With the Virtue of Suffering?',Styles,2019-03-26,Style,b'The Stoics and friends continue to be the dominant thought leaders from Google to Apple \xe2\x80\x94 and a new entrepreneur lobbying firm has even named itself Cicero.',The New York Times,News,https://www.nytimes.com/2019/03/26/style/silicon-valley-stoics.html,1110,[],"['Entrepreneurship', 'Computers and the Internet', 'Start-ups', 'Philosophy', 'your-feed-selfcare']"
5cb0b53449f0eacbf1f83650,b'Israeli Team Assesses What Went Wrong With Lunar Landing',None,2019-04-12,World,"b'The team behind the Israeli spacecraft that crashed into the moon moments before touchdown was working Friday to try and piece together what derailed the ambitious mission, which sought to make history as the first privately funded lunar landing.'",AP,News,https://www.nytimes.com/aponline/2019/04/12/world/middleeast/ap-ml-israel-lunar-landing.html,436,[],[]
5c3d2bec3a125f5075c0463f,b'Ivanka Trump to Help Choose New World Bank President',Washington,2019-01-15,U.S.,"b'Administration officials are expected to begin the interview process for the job, which has always gone to an American, on Tuesday.'",The New York Times,News,https://www.nytimes.com/2019/01/14/us/politics/ivanka-trump-world-bank-president.html,607,[],"['United States Politics and Government', 'United States Economy']"
5c463fa33a125f5075c058ef,"b'China Transforms, and a Factory Owner Struggles to Follow'",Business,2019-01-21,Technology,"b'Shao Chunyou rose from the assembly line to the boss\xe2\x80\x99s office. Now the old recipes for success don\xe2\x80\x99t work, and he must reinvent himself again.'",The New York Times,News,https://www.nytimes.com/2019/01/21/technology/china-economy-manufacturing-labor-costs.html,1408,['China'],"['Economic Conditions and Trends', 'Labor and Jobs', 'Factories and Manufacturing']"
5caf675449f0eacbf1f82d65,b'Walmart Responds to Bezos With Tweet Asking Amazon to Pay Taxes',None,2019-04-11,Business,"b'Amazon.com Inc Chief Executive Jeff Bezos on Thursday challenged retailers to hike their minimum wages to $16 an hour, prompting a comeback from Walmart Inc which asked its rivals to pay taxes.'",Reuters,News,https://www.nytimes.com/reuters/2019/04/11/business/11reuters-amazon-com-bezos.html,395,[],[]
5c71280e3a125f5075c0b273,b'We Love to Be Smushed',Styles,2019-02-23,Style,b'Heavy bedding is everywhere. Does it work?',The New York Times,News,https://www.nytimes.com/2019/02/23/style/weighted-blankets-sleep.html,1263,[],"['Beds and Bedding', 'Sleep', 'Anxiety and Stress']"
5cadd69349f0eacbf1f824b1,b'Russian Investigators Call for U.S. Investor to Be Let Out of Jail',None,2019-04-10,Business,"b'Russian investigators have asked a court in Moscow to free detained U.S. investor Michael Calvey from custody at a hearing later this week and to place him under house arrest instead, the court said on Wednesday. '",Reuters,News,https://www.nytimes.com/reuters/2019/04/10/business/10reuters-russia-business-detention.html,411,[],[]
5caba29949f0eacbf1f81a6d,"b""SEC Steps on Tesla 'Reasonable' to Prevent Problems: Commissioner""",None,2019-04-08,Business,"b'The U.S. securities watchdog\'s request that a federal judge hold Tesla Inc Chief Executive Elon Musk in contempt over the billionaire entrepreneur\'s use of Twitter was ""reasonable,"" said a U.S. Securities and Exchange Commission official on Monday...'",Reuters,News,https://www.nytimes.com/reuters/2019/04/08/business/08reuters-usa-sec-jackson-tesla.html,417,[],[]
5cad315449f0eacbf1f82249,"b'Israeli Expat Flies In to Vote, Hoping to Help Oust Netanyahu'",None,2019-04-09,Technology,"b""An Israeli entrepreneur went the extra mile to vote in Tuesday's parliamentary election - 7,401 of them (11,910 km), to be precise.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/technology/09reuters-israel-election-expats.html,395,[],[]
5c87e8ea49f0eacbf105caa6,b'Who\xe2\x80\x99s Been Charged in the College Admissions Cheating Scandal? Here\xe2\x80\x99s the Full List',National,2019-03-12,U.S.,b'The actresses Felicity Huffman and Lori Loughlin and the fashion designer Mossimo Giannulli are among the 50 people charged in a bribery scheme to secure places for students in elite colleges.',The New York Times,News,https://www.nytimes.com/2019/03/12/us/felicity-huffman-lori-loughlin-massimo-giannulli.html,889,[],"['College Admissions Scandal (2019)', 'Admissions Standards', 'Colleges and Universities', 'Bribery and Kickbacks', 'Cheating', 'Frauds and Swindling']"
