"location","status_id","created_at","text"
"Berkeley, CA","1117215815055470592",2019-04-13 23:59:41,"Alan Greenspan says economy will start to fade 'very dramatically' because of entitlement burden https://t.co/uivz9BoWtX"
"Middle-Earth","1117215807912710145",2019-04-13 23:59:40,"@DanHinz65 @Franklin_Graham @realDonaldTrump Thank you.

And remember: as New York’s population increases, so does our economy, our number of House seats, and (I believe) our Electoral College votes.

We make good neighbors. Please send us more people to be good neighbors to."
"Mars","1117215793643524096",2019-04-13 23:59:36,"“They were bullying her all the time there, telling her, ‘You are ugly, you are not beautiful,’” Alshteiwi said through a translator.

... what politics of hate and division does to people. Keep that in mind when you're worrying about the economy narrative during #abvote #abpoli https://t.co/EGyUEwZ6XJ"
"Ashland, KY","1117215793614393344",2019-04-13 23:59:36,"If the economy suddenly crashes just in time for the 2020 election, we will know the Democrats have a hand in it--because they're telling us ahead of time their plan to do it. Who will be hurt worst by an economic crash? The very people Democrats claim to care about--the Poorest."
"Ashland, KY","1117086346538045441",2019-04-13 15:25:14,"Democrats Plan to Crash Economy in Time for 2020 Election.  https://t.co/YgRSSbQmKE"
"Ashland, KY","1117076957487861760",2019-04-13 14:47:55,"Do you think it is a Winning Strategy for Democrats to Carry Out their Plan to Crash the Economy in Order to Have a Better Chance at Winning the Election in 2020?"
"Ashland, KY","1117080955376799750",2019-04-13 15:03:48,"Have you ever heard of Economic Vandalism? That exactly what Democrats are planning now in order to crash the economy--and hopefully win the 2020 Election. I will be retweeting posts from Democrats to keep everybody up to date on this abhorrent idea. I obviously don't support it."
"Ashland, KY","1117074539354165250",2019-04-13 14:38:19,"Democrats are openly colluding to crash the economy in order to have a better chance at winning the 2020 Election. This shows how desperate Democrats are to get their hands on Raw Power. They hate the United States are willing to destroy it if necessary to gain Power."
"Ashland, KY","1117082993364021248",2019-04-13 15:11:54,"Would you call the plan by Democrats to crash the Economy ""Economic Terrorism""?"
"Ashland, KY","1117074888966197248",2019-04-13 14:39:42,"@thomaskaine5 Democrats are planning to crash the Economy."
"Missouri, USA","1117215763381747717",2019-04-13 23:59:29,"@realDonaldTrump IF U HAD BRAINS AT ALL U WOULD OF DROP FLYERS CARAVANS BUT U WANT TO KEEP CRAP GOING. MEANWHILE U HELP USBANK STEAL 60M HOMES BY FRAUDULENT FORECLOSURE. TREASON ON ECONOMY. UR ASS NEEDS TO BE LOCKED UP. I VOTED FOR THIS POS. ECUADOR GOT A 4.2M LOAN 2ROLL ASSANGE 4 TRUMP SICKENING https://t.co/gpChYLCmqt"
"Missouri, USA","1117214430775992321",2019-04-13 23:54:11,"@realDonaldTrump @nytimes Y WON'T WIN AGAIN U LIE ABOUT JOB #'S Uve GOT 60M IN FRAUDULENT FORECLOSURE U &amp; UR CABINET MEMBERS WITH SBA HAVE SABOTAGE  HOMEOWNERS. Uve LET USBank TO KEEP ITS ILLEGALS WORKING FOR SPS LOCATED AT 3217 DECKER LAKE DR WEST VALLEY Ut UR NUMBERS DONT JIVE U LIE TREASON ON ECONOMY! https://t.co/mQWJA4D3KT"
