"location","status_id","created_at","text"
"Dallas, TX","1117215889814953985",2019-04-13 23:59:59,"@KBKnowzBest It’s <U+0001F525> but you have to make NFL WR money to cop. #Sheesh"
"Michigan, USA","1117215887474548736",2019-04-13 23:59:59,"@dbongino They prinably should have asked their parents. Wonder if they would feel@the same if they were actually forking over the money themselves?"
"Minnesota, USA","1117215883175387136",2019-04-13 23:59:58,"Sort of annoyed at all of the negative comments about Kim Kardashian wanting to become a lawyer. She would be a lawyer who already has money, and could use her position to help out people and causes she believes in. Or whatever she wants to do. It really isn’t your call."
"United States","1117211948171571200",2019-04-13 23:44:19,"@ConsiderThis1 @musser_benson @CathyPe78176224 @beastsaver @DeadlyClear @BuzzFeed @WellsFargo @FannieMae @FreddieMac @realDonaldTrump The Servicers made a claim for the AIG insurance as soon as the loan was in default..now you can understand how they were all getting double and triple payments out of one contract. It's one huge money scheme. They were milking homeowners, insurance, @FannieMae and taxpayers."
"United States","1117213308162015232",2019-04-13 23:49:44,"@ConsiderThis1 @musser_benson @beastsaver @CathyPe78176224 @realDonaldTrump @MarkCalabria @SenWarren @SecretaryCarson @RepDean @HousingWire @federalreserve @AJOKERONJACK @FarndonDavid @nadiaskin1 @ourkidz3 @LivingLiesBlog @Isabel1170 @DeadlyClear @DonaldJTrumpJr @endforeclosuren @TheEconomist @WFB_Fraud @guardian @handyman_neil @JoAnnKennedyCAN @JudicialWatch @FannieMae @FreddieMac The Chinese also had money invested in not only GSE's but also Wall Street MBS &amp; ABS, where billions upon billions was stolen from investors. American Mortgage Fraud affected people all over the world. Wall Street stole everyone's money. Wall Street is a huge Criminal Syndicate."
"United States","1117215879295643649",2019-04-13 23:59:57,"@ConsiderThis1 @musser_benson @CathyPe78176224 @beastsaver @DeadlyClear @BuzzFeed @WellsFargo @FannieMae @FreddieMac @realDonaldTrump You are right. The State Courts, Federal Courts, and the US Supreme Court are complicit, collusive, and completely corrupt.
Our justice system is now totally immoral and disgusting. Our nation will collapse into chaos within 10 years. It won't be long...therefore the MONEY GRAB."
"Saint-Ambroise","1117215869858406401",2019-04-13 23:59:54,"Missing inaugural ball money adds layer to odd Trump-China story https://t.co/CzMFzhv94V"
"Utah, USA","1117215863675822080",2019-04-13 23:59:53,"@Steveonomics @StIroningShirts Oh, you responsibly bought a place within your budget?

Thats nice, your prop tax has +8-10%/yr since then and is now $25k/yr on a place bought for $200k. 

Sorry you cant afford it now and have to move. But hey you ‘made money’ (not really after prop taxes)"
"Escondido, CA","1117215863394844674",2019-04-13 23:59:53,"I wanted to relax this weekend but when money calls got to do what you got to do"
"Huntsville, AL","1117215857493598209",2019-04-13 23:59:51,"@25whitney @HailStateBB @Elijahm_2 So where do I send my money for her to be at every game? #rallyKelsey"
"Las Vegas, NV","1117215856960901120",2019-04-13 23:59:51,"@snowellet @reecealann JUST COME HANG MONEY IS DUMB"
"Maryland, USA","1117215856323432448",2019-04-13 23:59:51,"Shawty you can’t be mad at a youngin who goes to work to make his money, and pays for what he has to just because he can’t buy you want you want at the moment. Especially if you ain’t got no job mama"
"United States","1117215855388106753",2019-04-13 23:59:51,"@aemoreira81 @ron_nauss @DonaldJTrumpJr @realDonaldTrump So if you become rich you’re u won’t try to instill discipline, respect, and other values for your kids to pass on because money buys everything? I’m asking a serious question because the current notion is that every rich person is less of a person than everyone else."
"Evansville, IN","1117215848060661760",2019-04-13 23:59:49,"@JoeT_OnTheSide @DanonymousMan @R_Kelley85 Won't be long and you'll be ""Collected"" your money from Dan O lol"
"USA","1117215846768754688",2019-04-13 23:59:49,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit: 
https://t.co/AIXHEXj2Xv"
"Baltimore, MD","1117215843111325696",2019-04-13 23:59:48,"Why does every small activity in my life require that I spend money? Why? <U+0001F62D><U+0001F62D>"
"Washington, USA","1117215838459711488",2019-04-13 23:59:47,"@realDonaldTrump I will never forget YOU took money for this tragedy, when you didn't need it!"
"Paradise ","1117215833225224192",2019-04-13 23:59:46,"I like money when it makes a difference not make you different #Drake"
"San Antonio, TX","1117215828594831361",2019-04-13 23:59:45,"When you make hella money you don’t look foward to income tax season #FUCKEM"
"Atlanta, GA","1117215826099298305",2019-04-13 23:59:44,"Money talks !"
"Neosho, MO","1117215824165707777",2019-04-13 23:59:44,"I don’t know if I should feel guilty for wanting to get a second job and spending next to no time with my daughter or feel okay with it because I would be making more money to progress in our future :/"
"Madison, WI","1117215811297525760",2019-04-13 23:59:40,"@shanevanderhart She acts like the guy didn’t have over a million dollars in outside money spent on behalf. That election had everything going for it on the GOP side and he needed all of it to win by 6,000 votes."
"Canada","1117215808923537413",2019-04-13 23:59:40,"@jetairways I’ve contacted you in everywhere possible. I want a refund as the revised ticketing does not work. Please respond to my DM. I want to know how much money I’m getting back #JetAirways"
"Monroe","1117215807950315520",2019-04-13 23:59:40,"@BrockESPN Money. I have a hard time listening to these players moan on what they think they deserve when they are talking in the tens or even hundreds of millions. Then they complain about something else. It's getting boring."
"North America","1117215804599128064",2019-04-13 23:59:39,"@KEENANMULVANEY #Pepperstone #FX is being referred to as a #gaming (#gambling) platform! Also, Pepperstone is a #CFDs broker, MOST traders of #CFD LOSE* money!

#currency #currencytrading #ZAR #Rand #ZARUSD #USDZAR $ZARUSD #SouthAfrica $ZAR #ZAR_F $ZARGBP $ZAREUR #SA #jse https://t.co/4SUJ4DNzS6"
"Los Angeles, CA","1117215802090934272",2019-04-13 23:59:38,"stay strong out there lol. they making money keeping you sick and ignorant"
"Long Island ","1117215794805526528",2019-04-13 23:59:37,"Anthony Barr took less money to not win anything and live where it goes -30 below who really lost out"
"Cleveland, OH","1117215776740728834",2019-04-13 23:59:32,"When you get more money then you get more props."
"Cleveland, OH","1117214114747768832",2019-04-13 23:52:56,"@UchePerkins I don’t play with my money"
"Oklahoma, USA","1117215772529627138",2019-04-13 23:59:31,"@ScrtNrdPrincess Because you work in the service industry and you like money? <U+0001F914><U+0001F636>"
"USA","1117215770331758592",2019-04-13 23:59:31,"@TrumpsGAGirl @RealMAGASteve @DCClothesline This is scary and fear it is truth, the Obamas are corrupt and as money grubbing as the Clintons . They have been and are destroying USA with the $$$$$$of George Soros."
"Shenandoah Valley ","1117215767752265728",2019-04-13 23:59:30,"@kenvogel Lewandowski he of the big mouth is making money off of the destruction of our country. They betrayed America for money."
"Las Vegas","1117215761452474373",2019-04-13 23:59:29,"When The Money Is Ready, The Deals Close. Syndication &amp; Hedge Fund Symposium (our 22nd National Program) in Philadelphia, PA from April 28 to May 1, 2019, https://t.co/5Q8exA6qF3 https://t.co/c4YcrWxmQF"
"Rhode Island, USA","1117215756310200320",2019-04-13 23:59:27,"Jason Vargas is stealing money"
"San Jose, CA","1117215753797693442",2019-04-13 23:59:27,"You want 50 dollars a month to put away for your kids christmas present from uncle tony? Can I just be the best uncle I can be.
Please don't be shellfish with what you ask of me. To some of you I'm just money, a golden goose, a prospect."
"New England","1117215737750466560",2019-04-13 23:59:23,"@jeffdunham owes this man some money https://t.co/NJ0F8Z3TKv"
"Calgary, Alberta","1117215715730178049",2019-04-13 23:59:18,"@Raptors Lowery got all this money and 0 point they should get him out that’s ridiculous"
"Denver, Colorado","1117215715637862400",2019-04-13 23:59:18,"@Amdisposal is a company that decided they wouldn't take all of our trash the day we moved out. Left it on the street and then decides three months after we move out to charge us money for a trashcan that they didn't pick up."
"Stockton, CA","1117215702681653248",2019-04-13 23:59:15,"Why am I just learning about my family back when my late grandpa was a popular rich guy who lend money to all my of city to start business.. but it all fell off because my dad's late brother lost their business and that's the reason my dad snuck his ass over here to the states"
"Orlando, FL","1117215694297419777",2019-04-13 23:59:13,"@cyberstevie It means they like what you make and think you deserve money for it! That is high praise. And as you get older as an artist, you and your friends will be buying each other’s art all the time. The sooner you accept it, the better. You are skilled and will only improve. Embrace it!"
"st louis","1117215693978656768",2019-04-13 23:59:12,"I agree Harry.. but in trying to figure out the clubs thinking...next year will be a pairing of Jan and Davison..then after.. a pairing of Davison and foyth..all within cost structure . And with Toby money in hand? Right? https://t.co/YEoUSutHnX"
"Reno, NV","1117215681068654592",2019-04-13 23:59:09,"What is something you like to spend a little extra money on to treat yourself? https://t.co/tIegPF9yRW #women"
"my man’s heart (;","1117215663762722816",2019-04-13 23:59:05,"everyone wants to be with someone who has big money till it’s your senior prom and you’re home alone cause your man is on site working. ):"
"Seattle, WA","1117215662529626112",2019-04-13 23:59:05,"Artists deserve all the money in the pot, hands down, I'd rather write a 50,000-word novel than draw a 25-page comic any day, ow-ow-ow-ow."
"Atlanta, GA","1117215658884915202",2019-04-13 23:59:04,"#NowPlaying 701 Black ft Vet and JayvoFrm900 - Money Callin Tank West Mastering Explicit Mp3 on https://t.co/qO1FBgAAqr @atlwebradio"
"United States","1117215654107594754",2019-04-13 23:59:03,"@davemeltzerWON Anyone paying you to lie to them deserve their money to be taken <U+0001F602><U+0001F602>"
"New York City","1117215651070869504",2019-04-13 23:59:02,"I don't care about the draft pick. 
I don't care about the bonus pool money. 
Sign Dallas Keuchel. 
@Mets @GMBVW #Mets"
"Miami, FL","1117215643558924288",2019-04-13 23:59:00,"New money who the fuck this is? <U+0001F4B0>"
"United States","1117215630091014146",2019-04-13 23:58:57,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit: 
https://t.co/wTg76SDdRG"
"The Ranch","1117215629709279232",2019-04-13 23:58:57,"@turbofireclash @Arrowheadgirl95 @GoldenKnights @Mathieu_Era I bet u money he don’t play."
"Augusta, GA","1117215621589143553",2019-04-13 23:58:55,"Being in the military means spending ridiculous amounts of money on stupid things because you never learned real discipline in basic training"
"Charlotte, NC","1117215621161410561",2019-04-13 23:58:55,"@turbotax I'd give real money if you'd answer my extremely simple questions on twitter. Oh wait, I gave you real money already."
"South","1117215613682888707",2019-04-13 23:58:53,"@LQ ft Meyers location says there is no manger on duty I will have to wait until tomorrow to get fraudulent charges reversed.  You put your hand in my wallet and #stole money from me. Make it right"
"South","1117215288628527104",2019-04-13 23:57:36,"@LQ I’ve called 6 people - been hung up on.  You have taken money from my card I did not authorize.  Make it right."
"Tampa, FL","1117215613020246016",2019-04-13 23:58:53,"@MattEhalt House money???? Its the first friggin inning. Ever play the gm beyond LL???? He's got 24 other guys he has to look in the eye."
"Nash Bridges, TN","1117215608192602112",2019-04-13 23:58:52,"@SheaSerrano Cuz. You ever gonna do a regular podcast or just these one offs? I pay good money for all this free content. I deserve even more and on a regular basis."
"United States","1117215603515744256",2019-04-13 23:58:51,"Ha ha laugh out loud don't trump always asking for donations. When is billionaire    maybe you should donate some money to me ha ha. Ha h..."
"United States","1117215583811112961",2019-04-13 23:58:46,"@TKD350 @helper2 @MadRabb39651244 Because they had us broke and @realDonaldTrump has put money back into OUR pockets !"
"United States","1117215555063287808",2019-04-13 23:58:39,"@bleeker185 @nicebonerbro @CynChamplin A. You elect the thief
B. You can run for office, on money swindled from unwitting plebs ( like you) and at best become complicit in the theft. 
There fixed 
You're welcome"
"Virginia Beach, VA","1117215537141096449",2019-04-13 23:58:35,"@GundamIsHere @t8styham The best part about all of this??? Xbox and PS4 use custom AMD chips. You think either is going to pay the extra money out to get Nvidia? SMH"
"Chandler, AZ","1117215536419676160",2019-04-13 23:58:35,"Thanks to the Renatus Education, I have done 5 fix and flips and 1 wholesale with the community. None of my own credit or money just my deticated time to always focus on Lourdes and my furture and working on getting debt free&gt; https://t.co/JNcnEV3g5M"
"United States","1117214279965532160",2019-04-13 23:53:35,"Have you heard ‘Money Off The Meter (Prod. C13RVO x DVTCHIE)’ by Tcorr on #SoundCloud? #np https://t.co/rttL72MHD0"
"United States","1117215534712532993",2019-04-13 23:58:34,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit: 
https://t.co/DNfKdvJNOM"
"Murrieta, CA","1117215532673982464",2019-04-13 23:58:34,"@CBSNews YOU are the one who made CA sanctuary State. You can’t have it both ways @GavinNewsom.  Put your money where your mouth is:  you want the illegal immigrants in CA, they should send BUSES right to your house so you can pay for their education, healthcare and social services."
"Gilbert, AZ","1117215524075659264",2019-04-13 23:58:32,"@Cougsky @FieldGulls It doesn’t help how deep this draft is on the d-line.  Trading Clark frees up some money for Russ, Wags and Reed"
